"store_id","film_id","category_id","film_title","category","inventory_count","total_rentals","total_revenue","last_rental_date","average_rental_duration_days"
2,450,3,"Idols Snatchers","Children",4,20,52.85,"2005-08-23 20:27:34",4.82
1,535,11,"Love Suicides","Horror",4,20,22.85,"2005-08-23 18:23:11",5.20
2,875,15,"Talented Homicide","Sports",4,19,22.85,"2005-08-17 19:59:06",4.79
2,228,4,"Detective Vision","Classics",4,19,37.84,"2006-02-14 15:16:03",5.07
2,396,7,"Hanging Deep","Drama",4,19,92.85,"2005-08-20 23:42:31",4.73
2,759,13,"Salute Apollo","New",4,19,74.84,"2005-08-22 19:09:52",4.37
2,753,8,"Rush Goodfellas","Family",4,18,43.85,"2005-08-22 10:29:44",4.37
2,870,11,"Swarm Gold","Horror",4,18,43.86,"2006-02-14 15:16:03",5.25
1,489,2,"Juggler Hardly","Animation",4,18,42.85,"2005-08-23 06:31:24",5.31
1,603,8,"Movie Shakespeare","Family",4,18,88.84,"2005-08-21 08:39:26",4.49
2,474,15,"Jade Bunch","Sports",4,18,53.85,"2005-08-23 15:30:48",4.32
2,688,3,"Polish Brooklyn","Children",4,18,18.85,"2005-08-23 13:48:34",4.83
1,938,5,"Velvet Terminator","Comedy",4,18,102.85,"2005-08-23 18:46:44",4.72
1,55,14,"Barbarella Streetcar","Sci-Fi",4,18,59.84,"2005-08-23 20:45:53",5.73
2,791,6,"Show Lord","Documentary",4,18,102.85,"2005-08-23 16:58:12",4.57
1,545,9,"Madness Attacks","Foreign",4,18,45.84,"2005-08-22 17:27:23",5.48
2,8,11,"Airport Pollock","Horror",4,18,86.85,"2005-08-23 20:24:36",5.06
1,971,9,"Whale Bikini","Foreign",4,18,113.85,"2005-08-23 20:08:18",6.19
2,838,1,"Stagecoach Armageddon","Action",4,18,99.84,"2005-08-23 16:19:02",4.98
2,730,13,"Ridgemont Submarine","New",4,18,53.85,"2006-02-14 15:16:03",5.80
2,735,3,"Robbers Joon","Children",4,18,48.85,"2005-08-21 15:28:15",4.53
2,285,14,"English Bulworth","Sci-Fi",4,18,54.84,"2005-08-23 18:43:11",4.79
2,738,9,"Rocketeer Mother","Foreign",4,18,50.85,"2005-08-23 20:10:13",5.27
1,941,10,"Videotape Arsenic","Games",4,18,92.86,"2005-08-22 15:29:15",4.81
1,433,2,"Horn Working","Animation",4,17,72.84,"2005-08-23 10:04:36",4.31
1,358,4,"Gilmore Boiled","Classics",4,17,32.87,"2005-08-20 23:26:40",5.96
2,331,10,"Forward Temple","Games",4,17,45.87,"2005-08-22 13:46:24",4.76
2,621,8,"Network Peak","Family",4,17,65.85,"2005-08-23 09:07:11",5.88
2,135,15,"Chance Resurrection","Sports",4,17,80.85,"2005-08-22 10:14:39",5.06
1,131,4,"Center Dinosaur","Classics",4,17,80.86,"2005-08-20 13:03:26",3.94
2,854,11,"Strangers Graffiti","Horror",4,17,104.86,"2005-08-23 11:17:26",5.68
2,119,5,"Caper Motions","Comedy",4,17,24.84,"2005-08-23 22:08:04",4.29
2,878,16,"Teen Apollo","Travel",4,17,109.86,"2005-08-21 03:32:03",5.03
2,103,16,"Bucket Brotherhood","Travel",4,17,69.87,"2005-08-20 17:17:00",5.02
2,626,3,"Noon Papi","Children",4,17,60.85,"2005-08-20 12:33:36",5.28
1,953,2,"Wait Cider","Animation",4,17,53.86,"2005-08-23 14:07:56",5.61
1,103,16,"Bucket Brotherhood","Travel",4,17,80.85,"2005-08-23 21:49:22",4.88
2,641,9,"Orange Grapes","Foreign",4,17,45.85,"2005-08-23 20:13:31",5.60
2,951,4,"Voyage Legally","Classics",4,17,28.85,"2005-08-23 22:26:47",5.34
2,348,8,"Gandhi Kwai","Family",4,17,16.87,"2005-08-22 05:07:17",5.34
1,510,2,"Lawless Vision","Animation",4,17,76.86,"2006-02-14 15:16:03",4.21
1,101,6,"Brotherhood Blanket","Documentary",4,17,64.85,"2005-08-20 19:08:32",5.70
2,527,11,"Lola Agent","Horror",4,17,104.84,"2005-08-22 11:36:16",5.12
1,428,8,"Homicide Peach","Family",4,17,43.87,"2005-08-23 09:02:04",4.10
1,86,12,"Boogie Amelie","Music",4,17,84.85,"2006-02-14 15:16:03",4.68
2,891,4,"Timberland Sky","Classics",4,17,64.84,"2005-08-23 00:53:57",5.93
1,895,4,"Tomorrow Hustler","Classics",4,17,63.84,"2005-08-23 22:20:26",3.97
1,349,2,"Gangs Pride","Animation",4,17,60.87,"2005-08-23 16:34:31",4.75
2,58,6,"Beach Heartbreakers","Documentary",4,17,55.86,"2005-08-23 15:29:17",5.20
2,309,8,"Feud Frogmen","Family",4,17,18.87,"2005-08-22 16:11:32",4.42
1,995,11,"Yentl Idaho","Horror",4,17,84.85,"2005-08-23 18:50:54",4.54
2,437,8,"House Dynamite","Family",4,17,45.86,"2005-08-23 20:16:27",4.94
2,649,2,"Oz Liaisons","Animation",4,17,63.85,"2005-08-22 22:21:35",4.43
1,299,16,"Factory Dragon","Travel",4,17,30.85,"2005-08-19 20:55:23",3.68
1,973,6,"Wife Turn","Documentary",4,17,103.86,"2005-08-22 23:10:49",4.83
2,288,16,"Escape Metropolis","Travel",4,17,47.85,"2005-08-23 12:47:16",4.18
2,353,9,"Gentlemen Stage","Foreign",4,17,48.86,"2005-08-22 01:17:18",5.20
2,572,14,"Metropolis Coma","Sci-Fi",4,17,64.85,"2005-08-21 19:51:11",4.77
1,267,13,"Eagles Panky","New",4,17,98.86,"2006-02-14 15:16:03",5.07
1,265,5,"Dying Maker","Comedy",4,17,83.85,"2005-08-21 16:52:03",4.09
1,702,11,"Pulp Beverly","Horror",4,17,55.86,"2006-02-14 15:16:03",4.08
1,563,10,"Massacre Usual","Games",4,17,91.85,"2005-08-23 17:02:00",5.47
1,561,13,"Mask Peach","New",4,17,49.86,"2005-08-22 15:56:42",5.19
2,748,1,"Rugrats Shakespeare","Action",4,17,36.85,"2005-08-22 18:16:50",4.78
2,760,13,"Samurai Lion","New",4,17,67.84,"2005-08-23 08:59:12",5.39
1,767,12,"Scalawag Duck","Music",4,17,80.85,"2005-08-23 17:13:01",4.20
2,552,6,"Majestic Floats","Documentary",4,17,36.85,"2005-08-22 02:04:38",6.16
1,391,8,"Half Outfield","Family",4,17,49.86,"2006-02-14 15:16:03",5.13
2,398,12,"Hanover Galaxy","Music",4,17,81.86,"2005-08-20 18:42:40",4.45
2,260,15,"Dude Blindness","Sports",4,16,90.87,"2005-08-23 07:10:22",4.31
1,447,10,"Ice Crossing","Games",4,16,55.86,"2005-08-23 02:08:40",4.68
1,427,6,"Homeward Cider","Documentary",4,16,23.84,"2005-08-21 13:07:24",3.51
2,966,6,"Wedding Apollo","Documentary",4,16,52.86,"2005-08-21 03:09:23",5.72
2,31,8,"Apache Divine","Family",4,16,79.86,"2005-08-23 12:47:26",3.97
1,956,10,"Wanda Chamber","Games",4,16,76.86,"2006-02-14 15:16:03",5.33
2,40,6,"Army Flintstones","Documentary",4,16,36.86,"2005-08-22 18:27:33",4.93
2,42,15,"Artist Coldblooded","Sports",4,16,59.86,"2005-08-22 19:44:53",5.40
2,945,6,"Virginian Pluto","Documentary",4,16,25.87,"2005-08-22 12:23:59",4.57
2,418,7,"Hobbit Alien","Drama",4,16,33.87,"2005-08-22 13:06:26",5.76
1,927,1,"Uprising Uptown","Action",4,16,45.87,"2005-08-23 16:54:09",5.17
1,521,7,"Lies Treatment","Drama",4,16,74.86,"2005-08-20 23:07:10",4.86
