,film_id,category_id,film_title,category,average_price,number_of_rental_day,total_days_revenue,last_rental_date,store_id,inventory_count,total_rentals,total_revenue,average_rental_duration_days
0,1,6,Academy Dinosaur,Documentary,0.99,6,5.94,2006-02-15 10:07:09,1.0,4,12,18.89,5.0
1,1,6,Academy Dinosaur,Documentary,0.99,6,5.94,2006-02-15 10:07:09,2.0,4,11,14.9,4.99
2,2,11,Ace Goldfinger,Horror,4.99,3,14.97,2006-02-15 10:07:09,2.0,3,7,52.93,5.64
3,3,6,Adaptation Holes,Documentary,2.99,7,20.93,2006-02-15 10:07:09,2.0,4,12,34.89,3.47
4,4,11,Affair Prejudice,Horror,2.99,5,14.95,2006-02-15 10:07:09,1.0,4,13,49.88,5.06
5,4,11,Affair Prejudice,Horror,2.99,5,14.95,2006-02-15 10:07:09,2.0,3,10,33.91,4.33
6,5,8,African Egg,Family,2.99,6,17.94,2006-02-15 10:07:09,2.0,3,12,47.89,7.11
7,6,9,Agent Truman,Foreign,2.99,3,8.97,2006-02-15 10:07:09,1.0,3,11,56.9,5.45
8,6,9,Agent Truman,Foreign,2.99,3,8.97,2006-02-15 10:07:09,2.0,3,10,54.91,6.35
9,7,5,Airplane Sierra,Comedy,4.99,6,29.94,2006-02-15 10:07:09,2.0,3,9,44.91,2.86
10,7,5,Airplane Sierra,Comedy,4.99,6,29.94,2006-02-15 10:07:09,1.0,2,6,37.94,7.17
11,8,11,Airport Pollock,Horror,4.99,6,29.94,2006-02-15 10:07:09,2.0,4,18,86.85,5.06
12,9,11,Alabama Devil,Horror,2.99,3,8.97,2006-02-15 10:07:09,1.0,3,8,43.92,5.04
13,9,11,Alabama Devil,Horror,2.99,3,8.97,2006-02-15 10:07:09,2.0,2,4,27.96,6.64
14,10,15,Aladdin Calendar,Sports,4.99,6,29.94,2006-02-15 10:07:09,1.0,4,11,62.89,4.87
15,10,15,Aladdin Calendar,Sports,4.99,6,29.94,2006-02-15 10:07:09,2.0,3,12,68.88,4.73
16,11,9,Alamo Videotape,Foreign,0.99,6,5.94,2006-02-15 10:07:09,1.0,4,13,15.88,4.3
17,11,9,Alamo Videotape,Foreign,0.99,6,5.94,2006-02-15 10:07:09,2.0,3,11,14.9,5.86
18,12,12,Alaska Phantom,Music,0.99,6,5.94,2006-02-15 10:07:09,2.0,4,15,24.87,5.73
19,12,12,Alaska Phantom,Music,0.99,6,5.94,2006-02-15 10:07:09,1.0,3,11,12.9,4.7
